script_path,script_type,matched_terms,notes
D:\us-tech-quant\scripts\v18\run_v18_18E_technical_timing_current_alias_externalization_audit.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_18F_technical_timing_current_detail_slimming.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21A_price_derived_factor_pack.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21B_R1_signal_snapshot_quality_patch.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21B_R1_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21B_signal_snapshot_research_linker.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21C_factor_effectiveness_read_center.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21C_R1_sample_maturity_forward_match_patch.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21C_R2_forward_match_key_quality_plan.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21C_R2_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21D_forward_tracker_link_key_upgrade_plan.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21D_R1_controlled_forward_tracker_link_key_application.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21D_R1_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21D_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21F_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21F_unified_research_chain_read_center.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21G_controlled_forward_outcome_filler_design.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21G_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21H_full_history_backfill_design.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21H_R1_controlled_staged_backfill_batch1_design.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21H_R1_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21H_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21I_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21I_unified_backtest_research_design.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22A_research_command_center.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22A_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22B_daily_research_command_center_wrapper.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22B_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22C_research_packet_writer.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22C_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_23C_R2_official_price_integration_full_history.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_23C_R3_official_cache_rolling_ledger_retest.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_23C_R4_controlled_staged_backfill_batch2.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_23C_R6_batch2_official_price_integration_full_history.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_24A_dynamic_score_tier_migration_audit.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_24B_stable_snapshot.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_24B_tier_migration_operator_homepage.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1,factor,factor_pack;factor_ranking_output,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4A_R1_daily_integrated_wrapper.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4C_R2_stable_snapshot.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4D_factor_pack_audit.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4E_factor_output_forward_tracking_audit.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4G_R1_final_daily_factor_audit_wrapper.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4G_R2_stable_snapshot.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4J_read_center_cleanup.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4K_R2_safe_delete_cleanup.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_4K_workspace_cleanup.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6A_technical_timing_shadow.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6B_R1_technical_timing_diagnostic_patch.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6B_technical_timing_backtest.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6C_R1_technical_timing_forward_tracker_freshness_guard.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6C_technical_timing_forward_tracker.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6D_technical_timing_read_center.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6E_final_read_center_with_technical.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6E_R2_stable_snapshot.ps1,technical,bollinger;kdj;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6F_official_daily_with_technical.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_6F_R2_stable_snapshot.ps1,factor+technical,bollinger;factor_pack;kdj;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_7A_full_speed_profile.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_7B_main_chain_audit_dedup_optimizer.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_7B_main_chain_linear_optimizer.ps1,factor+technical,factor_pack;rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_7C_factor_output_forward_tracking_audit_fast.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_7D_official_daily_fast_main_with_technical.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_8E_R1_stable_snapshot.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_8E_R2_stable_snapshot.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_8E_R3_stable_snapshot.ps1,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_10A_factor_registry_coverage_audit.py,factor+technical,bollinger;factor_pack;kdj;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_10A_R2_factor_daily_capture_patch.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_11F_R1_stable_snapshot.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_12A_sell_timing_shadow_engine.py,technical,kdj;rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_12B_sell_timing_technical_label_integration.py,technical,bb_squeeze_flag;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_12D_exit_signal_forward_validation.py,technical,rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_12D_R1_stable_snapshot.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_12G_sell_timing_cleanup_audit.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_13B_R1_stable_snapshot.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_13B_ranked_candidate_read_center.py,factor+technical,bb_status;factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_14C_ranked_candidate_forward_tracker.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_14D_ranked_candidate_forward_price_filler.py,factor+technical,factor_pack;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_15C_predevelopment_program_audit.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_16A_universe_rolling_state_builder.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_16C_scan_scoped_data_update.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_16K_true_5day_unique_coverage_scheduler.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_17A_ranking_factor_provenance_audit.py,factor+technical,factor_pack;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_18A_storage_slimming_cleanup.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_18B_stable_snapshot_compression_audit.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_18D_large_generated_output_archive_cleanup.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_18E_technical_timing_current_alias_externalization_audit.py,technical,rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_18F_technical_timing_current_detail_slimming.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_19A_daily_readability_refactor.py,factor,factor_pack;factor_ranking_output,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_20A_deep_legacy_cleanup_audit.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_20B_deep_cleanup_triage_report.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_20F_legacy_archive_plan_dryrun.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_20G_verified_legacy_archive_apply.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_20H_empty_folder_orphan_output_cleanup.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_20I_apply_empty_directory_cleanup.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_20K_R1_stable_snapshot.py,technical,rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21A_price_derived_factor_pack.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21A_R1_data_coverage_scoring_patch.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21A_R2_price_history_source_coverage_patch.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21A_R3_ticker_price_source_mapping_patch.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21A_R4_stable_snapshot.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21B_R1_signal_snapshot_quality_patch.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21B_R1_stable_snapshot.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21B_signal_snapshot_research_linker.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21C_factor_effectiveness_read_center.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21C_R1_sample_maturity_forward_match_patch.py,factor+technical,factor_pack;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21C_R2_forward_match_key_quality_plan.py,factor+technical,factor_pack;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21C_R2_stable_snapshot.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21D_forward_tracker_link_key_upgrade_plan.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21D_R1_controlled_forward_tracker_link_key_application.py,factor+technical,factor_pack;factor_ranking_output;rsi;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21D_R1_stable_snapshot.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21D_stable_snapshot.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21E_event_risk_coefficient_engine.py,factor+technical,factor_pack;factor_ranking_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21E_R1_hard_lock_overlay_semantics_patch.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21F_stable_snapshot.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21F_unified_research_chain_read_center.py,factor+technical,factor_pack;factor_ranking_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21G_controlled_forward_outcome_filler_design.py,factor+technical,factor_pack;factor_ranking_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21G_stable_snapshot.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21H_full_history_backfill_design.py,factor+technical,factor_pack;factor_ranking_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21H_R1_controlled_staged_backfill_batch1_design.py,factor+technical,factor_pack;factor_ranking_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21H_R1_stable_snapshot.py,factor+technical,factor_pack;factor_ranking_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21H_stable_snapshot.py,factor+technical,factor_pack;factor_ranking_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21I_stable_snapshot.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_21I_unified_backtest_research_design.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_22A_research_command_center.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_22A_stable_snapshot.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_22B_daily_research_command_center_wrapper.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_22B_stable_snapshot.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_22C_research_packet_writer.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_22C_stable_snapshot.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_22D_daily_research_operator_homepage.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_22D_stable_snapshot.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23A_R1_universe_count_drift_reconciliation.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23A_rolling_research_coverage_controller.py,factor+technical,factor_pack;factor_ranking_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23A_stable_snapshot.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23B_R1_rolling_coverage_watchdog.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23B_R2_watchdog_force_eligibility_audit.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23B_R3_local_scan_skip_diagnostics.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23B_rolling_scan_executor.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_controlled_staged_backfill_batch1.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_R1_staged_backfill_quality_audit.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_R2_official_price_integration_full_history.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_R3_official_cache_rolling_ledger_retest.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_R4_controlled_staged_backfill_batch2.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_R5_batch2_staged_backfill_quality_audit.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_R6_batch2_official_price_integration_full_history.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_R6_official_price_integration_batch2_full_history.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_23C_R7_batch2_rolling_coverage_ledger_retest.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_24A_dynamic_score_tier_migration_audit.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_24B_stable_snapshot.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_24B_tier_migration_operator_homepage.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_25A_degraded_daily_output_controller.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_25A_R1_degraded_daily_output_review.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_25A_R2_tier_migration_source_alias_repair.py,factor+technical,factor_pack;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_25A_R3_post_integration_promotion_blocker_audit.py,factor+technical,factor_pack;factor_ranking_output;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_25A_R4_integrated_tickers_factor_technical_refresh_readiness_audit.py,factor+technical,bb_bandwidth;bb_mid_20;bb_squeeze_flag;bb_status;bollinger;factor_pack;factor_ranking_output;kdj;rsi;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_3D_factor_pack_shadow_extension.py,factor+technical,factor_pack;rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_3D_R1_official_overlap_fix.py,factor+technical,factor_pack;rsi,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_4A_factor_forward_outcome_tracker.py,factor,factor_pack;factor_ranking_output,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_4B_factor_outcome_summary_promotion_rules.py,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_4H_factor_rolling_backtest.py,factor,factor_pack;factor_ranking_output,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_6A_technical_timing_shadow.py,factor+technical,bb_bandwidth;bb_mid_20;bb_squeeze_flag;bb_status;bollinger;factor_pack;factor_ranking_output;kdj;rsi;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_6B_R1_technical_timing_diagnostic_patch.py,technical,kdj;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_6B_technical_timing_backtest.py,factor+technical,bb_bandwidth;bb_squeeze_flag;factor_pack;factor_ranking_output;kdj;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_6C_R1_technical_timing_forward_tracker_freshness_guard.py,technical,bb_status;kdj;rsi;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_6C_technical_timing_forward_tracker.py,technical,bb_bandwidth;bb_squeeze_flag;bb_status;kdj;rsi;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_6D_technical_timing_read_center.py,technical,bb_bandwidth;bb_squeeze_flag;bb_status;kdj;rsi;technical_current_output;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_6E_final_read_center_with_technical.py,technical,bb_bandwidth;bb_status;kdj;rsi;technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_8B_current_simulation_cabin.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_9A_simulation_candidate_tracker.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_9B_forward_return_filler.py,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\v18_cleanup_audit.py,technical,technical_timing,Detected via repo text search only; no modification made.
