source_path,source_type,parsed_ticker_count,ticker_overlap_with_current_universe_count,ticker_overlap_with_current_universe_ratio,contains_ohlcv_history,contains_latest_only,selected_for_any_universe_ticker,selected_ticker_count,rejected_reason_if_not_selected,source_relevance_status
D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv,PRICE_REFERENCE,20,20,0.061538,FALSE,FALSE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_AUDIT.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\data\V18_16C_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,PRICE_REFERENCE,65,65,0.200000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\data\V18_16C_P1_SCOPED_YFINANCE_SMOKE_PRICE_AUDIT.csv,PRICE_REFERENCE,105,105,0.323077,TRUE,FALSE,FALSE,0,LOWER_PRIORITY_THAN_SELECTED_PER_TICKER_SOURCE,RELEVANT_NOT_SELECTED_LOWER_PRIORITY
D:\us-tech-quant\outputs\v18\data\V18_16C_P2_YFINANCE_CACHE_REPAIR_PRICE_AUDIT.csv,PRICE_REFERENCE,105,105,0.323077,TRUE,FALSE,FALSE,0,LOWER_PRIORITY_THAN_SELECTED_PER_TICKER_SOURCE,RELEVANT_NOT_SELECTED_LOWER_PRIORITY
D:\us-tech-quant\outputs\v18\data\V18_16C_P3_LOCAL_CACHE_BOOTSTRAP_AUDIT.csv,CSV_REFERENCE,105,105,0.323077,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\data\V18_16C_P3_LOCAL_PRICE_SOURCE_DISCOVERY.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\data\V18_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,PRICE_REFERENCE,65,65,0.200000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\ops\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_INPUT_AUDIT.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\ops\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_SUMMARY.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_CURRENT_PRICE_DERIVED_FACTORS.csv,PRICE_REFERENCE,325,325,1.000000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_CURRENT_PRICE_DERIVED_FACTOR_SCORES.csv,PRICE_REFERENCE,325,325,1.000000,FALSE,FALSE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R1_CURRENT_PRICE_DERIVED_FACTOR_SCORES.csv,PRICE_REFERENCE,325,325,1.000000,FALSE,FALSE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R1_CURRENT_PRICE_FACTOR_DATA_COVERAGE_AUDIT.csv,PRICE_REFERENCE,325,325,1.000000,FALSE,FALSE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R1_CURRENT_TOP_LIST_SORTING_AUDIT.csv,PRICE_REFERENCE,33,33,0.101538,FALSE,FALSE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R2_CURRENT_PRICE_DERIVED_FACTOR_SCORES.csv,PRICE_REFERENCE,325,325,1.000000,FALSE,FALSE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R2_CURRENT_PRICE_HISTORY_SOURCE_DISCOVERY_AUDIT.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R2_CURRENT_TICKER_FACTOR_SCOPE_CLASSIFICATION.csv,PRICE_REFERENCE,325,325,1.000000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R2_CURRENT_TOP_LIST_SCOPE_AUDIT.csv,PRICE_REFERENCE,20,20,0.061538,FALSE,FALSE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\technical_timing_forward\V18_6C_R1_CURRENT_STALE_PRICE_AUDIT.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\universe\V18_16D_CURRENT_PRIORITY_LIGHT_SCAN_RESULT.csv,UNIVERSE_PRICE_REFERENCE,65,65,0.200000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_PRIORITY_LIGHT_SCAN_RESULT.csv,UNIVERSE_PRICE_REFERENCE,65,65,0.200000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,UNIVERSE_PRICE_REFERENCE,325,325,1.000000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\state\v18\price_cache\AAPL.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ACLS.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ACM.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ACMR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\AEHR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ALAB.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\AMAT.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\AMD.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\AMKR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\AMZN.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ANET.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\APH.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ARM.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ASML.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\AVGO.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\BE.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\BTDR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CAMT.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CARR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CEG.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CIEN.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CIFR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CLS.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\COHR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\COHU.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CORZ.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CRDO.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CRM.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CRWD.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CRWV.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\CSCO.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\D.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\DDOG.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\DELL.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ECL.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ENTG.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ETN.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ETR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\FIX.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\FLEX.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\FLR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\FN.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\FORM.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\GEV.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\GLW.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\GNRC.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\GOOGL.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\HPE.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\HUBB.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\ICHR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\IGV.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\INTC.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\IRDM.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\IREN.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\IYW.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\JBL.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\KEYS.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\KLAC.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\KLIC.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\LITE.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\LRCX.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\MCHP.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\MDB.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\META.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\MKSI.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\MOD.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\MPWR.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\MRVL.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\MSFT.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
D:\us-tech-quant\state\v18\price_cache\MU.csv,STATE_V18_PRICE_CACHE,1,1,0.003077,TRUE,FALSE,TRUE,1,,RELEVANT_SELECTED
