component,source_file,exists,row_count,parse_status,status_value,note
official_current_read_first,D:\us-tech-quant\outputs\v18\read_center\V18_CURRENT_READ_FIRST.md,YES,0,OK_TEXT,,IMPORTANT_INPUT
official_9c_read_first,D:\us-tech-quant\outputs\v18\read_center\V18_9C_READ_FIRST.txt,YES,0,OK_TEXT,OK_OFFICIAL_DAILY_WITH_SIM_VALIDATION_READY,IMPORTANT_INPUT
shadow_research_read_first,D:\us-tech-quant\outputs\v18\read_center\V18_CURRENT_SHADOW_RESEARCH_DAILY_READ_FIRST.txt,YES,0,OK_TEXT,OK_OFFICIAL_DAILY_WITH_FACTOR_WEIGHT_RESEARCH_READY,IMPORTANT_INPUT
v18_12h_read_first,D:\us-tech-quant\outputs\v18\read_center\V18_12H_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12H_SELL_TIMING_READ_CENTER_LINK_READY,IMPORTANT_INPUT
v18_12h_read_link,D:\us-tech-quant\outputs\v18\read_center\V18_12H_CURRENT_SELL_TIMING_READ_LINK.md,YES,0,OK_TEXT,OK_V18_12H_SELL_TIMING_READ_CENTER_LINK_READY,IMPORTANT_INPUT
v18_12f_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12F_R2_STABLE_SNAPSHOT_READY,IMPORTANT_INPUT
v18_12e_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12E_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12E_R1_STABLE_SNAPSHOT_READY,IMPORTANT_INPUT
v18_12g_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12G_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12G_SELL_TIMING_CLEANUP_AUDIT_READY,IMPORTANT_INPUT
v18_12h_r1_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12H_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12H_R1_STABLE_SNAPSHOT_READY,IMPORTANT_INPUT
v18_12f_r2_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12F_R2_STABLE_SNAPSHOT_READY,IMPORTANT_INPUT
discovered_read_first,D:\us-tech-quant\outputs\v18\daily_integrated\V18_4A_R1_READ_FIRST.txt,YES,0,OK_TEXT,,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\daily_integrated\V18_4B_R1_READ_FIRST.txt,YES,0,OK_TEXT,,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\daily_integrated\V18_4G_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_FINAL_DAILY_FACTOR_AUDIT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\daily_integrated\V18_4I_R1_READ_FIRST.txt,YES,0,OK_TEXT,,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_10B_R3_READ_FIRST.txt,YES,0,OK_TEXT,OK_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_10C_R2_READ_FIRST.txt,YES,0,OK_TEXT,OK_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_10D_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_10D_R2_READ_FIRST.txt,YES,0,OK_TEXT,OK_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_11F_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_11F_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12A_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12A_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12B_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12B_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12C_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12C_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12D_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12D_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12E_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12E_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12F_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12F_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12F_R2_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12G_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12G_SELL_TIMING_CLEANUP_AUDIT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_12H_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12H_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_13A_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_13A_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_13B_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_13B_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_13C_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_13C_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_13D_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_13D_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14A_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14A_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14A_READ_FIRST.txt,YES,0,OK_TEXT,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14B_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14B_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14B_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_REFRESH_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14C_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14C_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14C_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14C_RANKED_CANDIDATE_FORWARD_TRACKER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14D_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14D_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14D_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14D_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14E_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14E_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_14E_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_14E_CURRENT_DAILY_WITH_FORWARD_TRACKER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_15A_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_15A_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_15A_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_15A_MANUAL_POSITION_TRADE_FEEDBACK_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_15B_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_15B_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_15B_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_15B_CURRENT_DAILY_WITH_MANUAL_FEEDBACK_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_15C_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_15C_PREDEVELOPMENT_PROGRAM_AUDIT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16A_P1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16A_P1_MANUAL_UNIVERSE_ADDITIONS_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16A_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16A_UNIVERSE_ROLLING_STATE_BUILDER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16B_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16B_ROLLING_SCAN_SCHEDULER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16C_P1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16C_P1_SCOPED_YFINANCE_SMOKE_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16C_P2_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16C_P2_YFINANCE_CACHE_REPAIR_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16C_P3_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16C_P3_LOCAL_CACHE_BOOTSTRAP_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16C_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16C_SCAN_SCOPED_DATA_UPDATE_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16D_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16D_PRIORITY_BASED_LIGHT_SCANNER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16E_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_16E_PROMOTION_DEMOTION_ENGINE_VALIDATION_FAILED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16F_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_16F_CURRENT_DAILY_WITH_ROLLING_UNIVERSE_SCAN_VALIDATION_FAILED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16G_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16G_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16H_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16H_SAME_DAY_PROMOTION_GUARD_COVERAGE_AUDIT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16I_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16I_ROLLING_SCAN_COVERAGE_POLICY_OPTIMIZER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16J_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16J_R1_COMMAND_CENTER_COVERAGE_SOURCE_PATCH_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16J_R2_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16J_R2_COVERAGE_SOURCE_FRESHNESS_PATCH_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16J_R2A_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16J_R2A_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16J_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16J_CONSERVATIVE_DAILY_THRESHOLD_PATCH_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16K_R1_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_16K_R1_COVERAGE_EVIDENCE_QUALITY_PATCH_DEGRADED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16K_R2_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_16K_R2_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_16K_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_16K_TRUE_5DAY_UNIQUE_COVERAGE_AUDIT_DEGRADED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_17A_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_17A_RANKING_FACTOR_PROVENANCE_AUDIT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_18A_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_18A_STORAGE_SLIMMING_AUDIT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_18B_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_18B_COMPRESSION_APPLIED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_18C_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_18C_DELETE_VERIFIED_STABLE_ORIGINALS_APPLIED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_18D_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_18D_LARGE_OUTPUT_ARCHIVE_AUDIT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_18E_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_18E_TECHNICAL_TIMING_ALIAS_EXTERNALIZATION_AUDIT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_18F_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_18F_TECHNICAL_TIMING_CURRENT_DETAIL_VERIFIED_ORIGINALS_DELETED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_19A_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_19A_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_19A_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_19A_DAILY_READABILITY_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_20F_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_20F_LEGACY_ARCHIVE_PLAN_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_20G_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_20G_VERIFIED_LEGACY_ARCHIVE_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_20I_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_20I_EMPTY_DIRECTORY_CLEANUP_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_20K_R1_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_20K_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_20K_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_20K_POST_CLEANUP_VERIFICATION_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21A_R1_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_21A_R1_DATA_COVERAGE_SCORING_PATCH_DEGRADED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21A_R2_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_21A_R2_PRICE_HISTORY_SOURCE_COVERAGE_PATCH_DEGRADED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21A_R3_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_21A_R3_TICKER_PRICE_SOURCE_MAPPING_RECONCILIATION_DEGRADED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21A_R4_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21A_R4_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21A_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_21A_PRICE_DERIVED_FACTOR_PACK_DEGRADED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21B_R1_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21B_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21B_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_21B_SIGNAL_SNAPSHOT_RESEARCH_LINKER_DEGRADED,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21C_R1_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_21C_R1_SAMPLE_MATURITY_PRELIMINARY_ONLY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21C_R2_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21C_R2_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21C_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_21C_FACTOR_EFFECTIVENESS_RESEARCH_INSUFFICIENT_EVIDENCE,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21D_R1_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21D_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21D_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21D_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21E_R1_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21E_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21E_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_21E_EVENT_RISK_COEFFICIENT_ADVISORY_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21F_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21F_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21G_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21G_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21H_R1_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21H_R1_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21H_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21H_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_21I_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_21I_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_22A_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_22A_RESEARCH_COMMAND_CENTER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_22B_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_22B_DAILY_RESEARCH_COMMAND_CENTER_WRAPPER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_22C_READ_FIRST.txt,YES,0,OK_TEXT,WARN_V18_22C_RESEARCH_PACKET_WRITER_READY,DISCOVERED_READ_FIRST
discovered_read_first,D:\us-tech-quant\outputs\v18\ops\V18_22D_STABLE_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_22D_STABLE_SNAPSHOT_READY,DISCOVERED_READ_FIRST
