ticker,original_path,backup_path,original_existed,backup_created,restore_action
AA,D:\us-tech-quant\state\v18\price_cache\AA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AAL,D:\us-tech-quant\state\v18\price_cache\AAL.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AAL.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ABR,D:\us-tech-quant\state\v18\price_cache\ABR.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ABR.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ADBE,D:\us-tech-quant\state\v18\price_cache\ADBE.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ADBE.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ADMA,D:\us-tech-quant\state\v18\price_cache\ADMA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ADMA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ADSK,D:\us-tech-quant\state\v18\price_cache\ADSK.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ADSK.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AEIS,D:\us-tech-quant\state\v18\price_cache\AEIS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AEIS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AEVA,D:\us-tech-quant\state\v18\price_cache\AEVA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AEVA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AFRM,D:\us-tech-quant\state\v18\price_cache\AFRM.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AFRM.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AGX,D:\us-tech-quant\state\v18\price_cache\AGX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AGX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ALM,D:\us-tech-quant\state\v18\price_cache\ALM.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ALM.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
APG,D:\us-tech-quant\state\v18\price_cache\APG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\APG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
APO,D:\us-tech-quant\state\v18\price_cache\APO.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\APO.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
APP,D:\us-tech-quant\state\v18\price_cache\APP.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\APP.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ARGT,D:\us-tech-quant\state\v18\price_cache\ARGT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ARGT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AXON,D:\us-tech-quant\state\v18\price_cache\AXON.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AXON.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BABA,D:\us-tech-quant\state\v18\price_cache\BABA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BABA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BAC,D:\us-tech-quant\state\v18\price_cache\BAC.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BAC.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BALL,D:\us-tech-quant\state\v18\price_cache\BALL.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BALL.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BIDU,D:\us-tech-quant\state\v18\price_cache\BIDU.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BIDU.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BITF,D:\us-tech-quant\state\v18\price_cache\BITF.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BITF.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BKNG,D:\us-tech-quant\state\v18\price_cache\BKNG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BKNG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BLTE,D:\us-tech-quant\state\v18\price_cache\BLTE.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BLTE.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BN,D:\us-tech-quant\state\v18\price_cache\BN.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BN.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BSX,D:\us-tech-quant\state\v18\price_cache\BSX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BSX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CART,D:\us-tech-quant\state\v18\price_cache\CART.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\CART.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CDNS,D:\us-tech-quant\state\v18\price_cache\CDNS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\CDNS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CHPT,D:\us-tech-quant\state\v18\price_cache\CHPT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\CHPT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CHRW,D:\us-tech-quant\state\v18\price_cache\CHRW.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\CHRW.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CLF,D:\us-tech-quant\state\v18\price_cache\CLF.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\CLF.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CLH,D:\us-tech-quant\state\v18\price_cache\CLH.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\CLH.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CLSK,D:\us-tech-quant\state\v18\price_cache\CLSK.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\CLSK.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CMG,D:\us-tech-quant\state\v18\price_cache\CMG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\CMG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
LPLA,D:\us-tech-quant\state\v18\price_cache\LPLA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\LPLA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
LSCC,D:\us-tech-quant\state\v18\price_cache\LSCC.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\LSCC.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
LYB,D:\us-tech-quant\state\v18\price_cache\LYB.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\LYB.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
LYFT,D:\us-tech-quant\state\v18\price_cache\LYFT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\LYFT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
MA,D:\us-tech-quant\state\v18\price_cache\MA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\MA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
MCK,D:\us-tech-quant\state\v18\price_cache\MCK.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\MCK.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
MELI,D:\us-tech-quant\state\v18\price_cache\MELI.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\MELI.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
MOH,D:\us-tech-quant\state\v18\price_cache\MOH.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\MOH.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
MPLX,D:\us-tech-quant\state\v18\price_cache\MPLX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\MPLX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
MTSI,D:\us-tech-quant\state\v18\price_cache\MTSI.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\MTSI.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
MTZ,D:\us-tech-quant\state\v18\price_cache\MTZ.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\MTZ.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
NAMS,D:\us-tech-quant\state\v18\price_cache\NAMS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\NAMS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
NFLX,D:\us-tech-quant\state\v18\price_cache\NFLX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\NFLX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
NI,D:\us-tech-quant\state\v18\price_cache\NI.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\NI.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
NRG,D:\us-tech-quant\state\v18\price_cache\NRG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\NRG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
NTRA,D:\us-tech-quant\state\v18\price_cache\NTRA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\NTRA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
NU,D:\us-tech-quant\state\v18\price_cache\NU.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\NU.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
NUVB,D:\us-tech-quant\state\v18\price_cache\NUVB.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\NUVB.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
OC,D:\us-tech-quant\state\v18\price_cache\OC.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\OC.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
